section,key,value
convergence,div-free_rate_L2,1.0812
convergence,div-free_rate_Linf,1.7547
convergence,div-free_h_finest,0.0156
convergence,div-free_l2_finest,6.3903e-03
convergence,div-free_linf_finest,2.5401e-04
convergence,smooth-div_rate_L2,1.3182
convergence,smooth-div_rate_Linf,1.6548
convergence,smooth-div_h_finest,0.0156
convergence,smooth-div_l2_finest,1.1663e-03
convergence,smooth-div_linf_finest,1.4392e-04
projection,div_free_linf,1.9210e-03
projection,div_free_rel_L2,2.3442e-02
projection,smooth_div_linf,2.1101e-03
projection,smooth_div_rel_L2,7.0238e-03
divergence,src_div_max,4.3683e-10
divergence,tgt_div_max,1.5913e+00
divergence,src_div_l2,4.1492e-11
divergence,tgt_div_l2,1.9050e-01
conservation,N64_src_bdry,2.4367e-16
conservation,N64_tgt_bdry,5.0043e-16
conservation,N64_diff,2.5677e-16
conservation,N256_src_bdry,2.5650e-16
conservation,N256_tgt_bdry,2.9521e-15
conservation,N256_diff,2.6956e-15
conservation,N1024_src_bdry,2.5019e-16
conservation,N1024_tgt_bdry,1.2444e-16
conservation,N1024_diff,-1.2575e-16
div_conv,h_0.1250_src_L2,9.7423e-10
div_conv,h_0.1250_tgt_L2_raw,6.0311e-02
div_conv,h_0.1250_tgt_L2_hdiv,4.3191e-02
div_conv,h_0.1250_src_max,1.2698e-08
div_conv,h_0.1250_tgt_max_raw,1.3400e+00
div_conv,h_0.1250_tgt_max_hdiv,5.4687e-01
div_conv,h_0.0625_src_L2,1.3578e-11
div_conv,h_0.0625_tgt_L2_raw,5.7713e-02
div_conv,h_0.0625_tgt_L2_hdiv,1.8856e-02
div_conv,h_0.0625_src_max,4.3683e-10
div_conv,h_0.0625_tgt_max_raw,1.5913e+00
div_conv,h_0.0625_tgt_max_hdiv,2.0638e-01
div_conv,h_0.0312_src_L2,1.4940e-13
div_conv,h_0.0312_tgt_L2_raw,5.2550e-02
div_conv,h_0.0312_tgt_L2_hdiv,1.0768e-02
div_conv,h_0.0312_src_max,5.9570e-12
div_conv,h_0.0312_tgt_max_raw,2.0849e+00
div_conv,h_0.0312_tgt_max_hdiv,1.6220e-01
div_conv,h_0.0156_src_L2,4.5894e-15
div_conv,h_0.0156_tgt_L2_raw,3.8927e-02
div_conv,h_0.0156_tgt_L2_hdiv,4.7649e-03
div_conv,h_0.0156_src_max,1.1635e-13
div_conv,h_0.0156_tgt_max_raw,1.6113e+00
div_conv,h_0.0156_tgt_max_hdiv,7.5554e-02
div_conv,slope_tgt_raw,0.2030
div_conv,slope_tgt_hdiv,1.0349
per_element,n_src,256
per_element,n_tgt,384
per_element,per_src_residual_max,0.0
per_element,per_overlap_residual_max,5.655198531684391e-16
per_element,per_overlap_count,174
per_element,per_tgt_raw_max,0.0038279469266070685
per_element,per_tgt_hdiv_max,3.122502256758253e-17
