domain,order,level,h,l2_flux_rel,l2_all_rel,linf_all,conservation
quad_to_quad,1,0,0.2,0.0542778,0.0542778,0.0177476,6.66134e-16
quad_to_quad,1,1,0.111111,0.013677,0.013677,0.00264361,2.22045e-16
quad_to_quad,1,2,0.0588235,0.00342403,0.00342403,0.000356342,1.11022e-15
quad_to_quad,2,0,0.2,0.00269263,0.00269258,0.000765511,1.11022e-15
quad_to_quad,2,1,0.111111,0.000343202,0.000343203,5.10321e-05,4.44089e-16
quad_to_quad,2,2,0.0588235,4.3004e-05,4.30045e-05,3.41801e-06,1.9984e-15
quad_to_quad,3,0,0.2,0.000113394,0.00011339,3.42865e-05,2.22045e-16
quad_to_quad,3,1,0.111111,7.70025e-06,7.70017e-06,1.43256e-06,6.66134e-16
quad_to_quad,3,2,0.0588235,4.87103e-07,4.87104e-07,4.94404e-08,2.22045e-16
voronoi_to_voronoi,1,0,0.125,0.0295592,0.0295592,0.0160279,1.77636e-15
voronoi_to_voronoi,1,1,0.0909091,0.0147002,0.0147002,0.0056958,6.66134e-16
voronoi_to_voronoi,1,2,0.0666667,0.00890476,0.00890476,0.00320506,1.33227e-15
voronoi_to_voronoi,2,0,0.125,0.00121443,0.00127783,0.000493894,1.11022e-15
voronoi_to_voronoi,2,1,0.0909091,0.000435072,0.000478909,0.000244007,0
voronoi_to_voronoi,2,2,0.0666667,0.000212504,0.000229313,0.000108356,2.22045e-16
voronoi_to_voronoi,3,0,0.125,8.31287e-05,9.97133e-05,3.34582e-05,0
voronoi_to_voronoi,3,1,0.0909091,3.46108e-05,4.23648e-05,1.27102e-05,2.88658e-15
voronoi_to_voronoi,3,2,0.0666667,1.0222e-05,1.17232e-05,4.42044e-06,3.77476e-15
