domain,order,level,h,l2_moment0_rel,l2_all_rel,conforming_divergence_residual
spherical_cubed_sphere,1,0,0.166667,0.0651189,0.0651189,1.11022e-16
spherical_cubed_sphere,1,1,0.125,0.0305278,0.0305278,9.02056e-17
spherical_cubed_sphere,1,2,0.1,0.0176018,0.0176018,8.32667e-17
spherical_cubed_sphere,1,3,0.0833333,0.0114092,0.0114092,6.245e-17
spherical_cubed_sphere,2,0,0.166667,0.00888676,0.00935658,1.11022e-16
spherical_cubed_sphere,2,1,0.125,0.0029659,0.00311328,1.00614e-16
spherical_cubed_sphere,2,2,0.1,0.00125612,0.0013223,9.71445e-17
spherical_cubed_sphere,2,3,0.0833333,0.0006363,0.000671008,5.55112e-17
spherical_cubed_sphere,3,0,0.166667,0.00125393,0.00149359,1.11022e-16
spherical_cubed_sphere,3,1,0.125,0.000526234,0.00055968,7.97973e-17
spherical_cubed_sphere,3,2,0.1,0.000337561,0.000345787,6.93889e-17
spherical_cubed_sphere,3,3,0.0833333,0.000224425,0.000227527,6.93889e-17
spherical_voronoi_patch,1,0,0.166667,0.0175906,0.0175906,8.32667e-17
spherical_voronoi_patch,1,1,0.125,0.0100173,0.0100173,6.245e-17
spherical_voronoi_patch,1,2,0.1,0.00613107,0.00613107,4.25007e-17
spherical_voronoi_patch,1,3,0.0833333,0.00441545,0.00441545,5.20417e-17
spherical_voronoi_patch,2,0,0.166667,0.00197763,0.00212881,6.93889e-17
spherical_voronoi_patch,2,1,0.125,0.000947647,0.0010268,4.85723e-17
spherical_voronoi_patch,2,2,0.1,0.000394117,0.000419824,4.16334e-17
spherical_voronoi_patch,2,3,0.0833333,0.000300509,0.000315233,5.55112e-17
spherical_voronoi_patch,3,0,0.166667,0.000321516,0.000355221,6.245e-17
spherical_voronoi_patch,3,1,0.125,9.49112e-05,0.000124703,5.55112e-17
spherical_voronoi_patch,3,2,0.1,1.83734e-05,2.17556e-05,5.55112e-17
spherical_voronoi_patch,3,3,0.0833333,2.48914e-05,2.85628e-05,4.85723e-17
